25 - 34,Female,Bachelor's Degree,England,I'm familiar but don't have hands-on experience.,Multiple times a day,I have taken courses or received training.,5,5,4,4,3,5,5,4,5,2,2,2,2,5,5,5,5,5,2,4,2,2,5,5,5,5,1,1,1,3,2,1,1,1,1,2,4,1,1,5,5,5,5,5,,2,2,3,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5,5,5,
25 - 34,Female,Master's Degree,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,4,1,4,2,5,5,5,5,5,2,2,2,2,4,4,4,3,3,2,2,2,2,1,1,1,1,1,2,1,1,5,5,5,5,5,5,5,5,5,1,1,2,1,1,2,1,1,1,1,1,1,1,5,5,5,5,It was interesting to observe how the caption was kept with the distortion of photos
45 - 54,Female,Bachelor's Degree,England,I'm not familiar at all.,Monthly,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,2,4,2,1,4,4,5,5,5,5,5,1,1,1,1,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,4,5,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,
25 - 34,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Multiple times a day,"Yes, as a hobby or pastime.",5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1,4,1,1,1,1,4,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No comments
25 - 34,Male,Master's Degree,Italy,I've heard of it but don't know much.,Multiple times a day,No experience or particular interest.,5,4,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,1,1,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,5,5,5,5,2,4,2,2,2,5,5,5,5,5,2,4,2,
18 - 24,Female,Bachelor's Degree,South Africa ,I'm familiar but don't have hands-on experience.,Weekly,"No, but I appreciate the arts and often view such content.",4,5,4,4,4,5,4,5,4,4,2,4,4,1,2,2,1,1,4,5,3,2,4,3,4,3,4,5,4,4,5,4,5,4,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,
18 - 24,Female,Bachelor's Degree,South Africa,I have some experience (have taken courses or dabble in it).,Weekly,"No, but I appreciate the arts and often view such content.",5,5,5,4,3,1,4,4,2,3,1,2,3,2,4,2,1,4,2,4,4,4,5,5,2,3,4,5,5,3,4,4,5,4,4,2,5,4,4,1,4,1,1,1,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,None whatsoever. 
25 - 34,Male,Bachelor's Degree,Germany,I have some experience (have taken courses or dabble in it).,Weekly,I have taken courses or received training.,2,4,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,2,3,3,2,2,2,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,One image was really too small to understand
25 - 34,Male,High School or lower,greece,I'm familiar but don't have hands-on experience.,Multiple times a day,"Yes, as a hobby or pastime.",5,5,5,5,5,4,4,4,5,5,4,5,5,2,1,2,3,4,1,2,2,1,5,5,4,5,1,1,1,2,2,1,1,1,1,4,4,3,4,5,5,5,5,5,4,4,5,4,5,5,5,5,3,2,3,1,2,2,2,2,2,5,5,5,4,
25 - 34,Female,Master's Degree,Portugal,I'm familiar but don't have hands-on experience.,Multiple times a day,"No, but I appreciate the arts and often view such content.",5,5,4,4,4,4,4,5,4,4,2,3,4,4,4,2,2,4,2,4,4,3,4,4,3,4,2,1,1,3,3,1,4,2,3,2,2,2,2,4,4,4,4,4,3,4,3,3,4,4,3,3,4,3,4,4,5,4,4,4,4,5,5,5,4,
25 - 34,Female,Bachelor's Degree,Mexico,I've heard of it but don't know much.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,2,2,2,2,5,5,4,4,2,2,2,1,1,2,2,2,1,1,4,1,1,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Everything was clear. 
25 - 34,Male,Bachelor's Degree,Spain,I have some experience (have taken courses or dabble in it).,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,5,5,5,5,3,1,3,2,5,5,5,4,4,5,5,5,4,4,4,4,3,2,1,1,1,1,4,4,3,3,1,4,1,1,5,5,5,5,4,5,5,5,5,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,
25 - 34,Male,Master's Degree,Portugal,I'm familiar but don't have hands-on experience.,Daily,"No, but I appreciate the arts and often view such content.",5,5,5,5,5,4,4,4,4,4,2,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,2,2,4,4,4,2,4,4,4,2,3,5,5,3,3,3,5,5,3,3,5,5,3,3,
45 - 54,Female,Master's Degree,Poland,I've heard of it but don't know much.,Multiple times a day,No experience or particular interest.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No
